"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.312160708E0,1.794904074E-1,3.899164595E-1,-1.965997624E0,2.012311683E0
2.322148708E0,3.768400022E-1,4.226797244E-1,-1.860479355E0,1.944749333E0
2.332136708E0,5.562877250E-1,4.175397660E-1,-1.863542712E0,1.989117123E0
2.342124708E0,6.884288053E-1,3.393835062E-1,-1.890762670E0,2.040612373E0
2.352112708E0,7.269426607E-1,1.697582103E-1,-1.913322982E0,2.053793640E0
2.362100708E0,6.520398282E-1,-8.887383497E-3,-1.973312491E0,2.078267815E0
2.372088708E0,5.337145489E-1,-1.219422389E-1,-1.999899781E0,2.073480230E0
2.382076708E0,5.017732564E-1,-1.345784556E-1,-1.942453226E0,2.010724321E0
2.392064708E0,5.266589696E-1,-1.143588205E-1,-1.842569334E0,1.919768049E0
2.402052708E0,6.159535175E-1,-1.326085698E-2,-1.676303757E0,1.785936413E0
2.412040708E0,6.803136740E-1,1.728663709E-1,-1.426457494E0,1.589808309E0
2.422028708E0,7.525192590E-1,3.708898756E-1,-1.145124561E0,1.419561480E0
2.432017708E0,8.501634481E-1,4.648323751E-1,-1.043702266E0,1.424135333E0
2.442005708E0,8.526435446E-1,4.660444298E-1,-1.100675781E0,1.468225323E0
2.451993708E0,8.008197454E-1,4.383145943E-1,-1.116374971E0,1.442125176E0
2.461981708E0,7.654041834E-1,4.235129161E-1,-1.053946003E0,1.369674754E0
2.471969708E0,7.790184018E-1,3.707101102E-1,-9.751723140E-1,1.302020237E0
2.481957708E0,8.323762912E-1,2.990954046E-1,-9.092379409E-1,1.268472303E0
2.491945708E0,8.652829590E-1,3.340857461E-1,-7.944769782E-1,1.221278655E0
2.501933708E0,9.431652403E-1,4.637298095E-1,-6.360074937E-1,1.228459010E0
2.511921708E0,9.662877622E-1,6.109665003E-1,-4.033315802E-1,1.212298836E0
2.521909708E0,8.850476443E-1,7.687933758E-1,-1.181950325E-1,1.178271044E0
2.531897708E0,7.178150108E-1,8.820459761E-1,1.918395442E-1,1.153284832E0
2.541885708E0,5.856374950E-1,8.823227687E-1,5.537757611E-1,1.195044910E0
2.551873708E0,5.510505932E-1,8.746163578E-1,1.014911746E0,1.448674008E0
2.561861708E0,3.990638436E-1,7.814588103E-1,1.491254584E0,1.730251444E0
2.571849708E0,4.481079496E-2,5.934407870E-1,1.895074407E0,1.986324994E0
2.581837708E0,-3.216108211E-1,3.800915292E-1,2.219345784E0,2.274510673E0
2.591825708E0,-5.286500197E-1,2.422713041E-1,2.452695297E0,2.520690470E0
2.601813708E0,-4.095591937E-1,2.164672491E-1,2.408496194E0,2.452641580E0
2.611801708E0,-8.010721989E-3,4.015862228E-1,1.909056854E0,1.950854617E0
2.621789708E0,1.287151053E-1,5.541355476E-1,1.459383751E0,1.566344379E0
2.631777708E0,-1.916533834E-1,5.656986358E-1,1.530815091E0,1.643210519E0
2.641765708E0,-7.404890513E-1,5.065531359E-1,2.170344948E0,2.348471270E0
2.651753708E0,-1.097291413E0,3.995316209E-1,3.041007637E0,3.257514607E0
2.661741708E0,-1.159252603E0,2.983102880E-1,3.803028476E0,3.986963909E0
2.671729708E0,-1.108517482E0,2.507510093E-1,4.480060034E0,4.621971981E0
2.681717708E0,-1.055679410E0,1.460877312E-1,4.632606289E0,4.753613539E0
2.691706708E0,-9.230034560E-1,1.213351152E-1,3.990110725E0,4.097272408E0
2.701694708E0,-7.353759536E-1,1.834880392E-1,2.782554274E0,2.883930294E0
2.711682708E0,-5.644713418E-1,2.702427392E-1,1.423880627E0,1.555344037E0
2.721670708E0,-5.688159692E-1,3.087141657E-1,4.846523166E-2,6.490030213E-1
2.731658708E0,-5.453444416E-1,2.879082741E-1,-9.682907259E-1,1.147988965E0
2.741646708E0,-4.361164432E-1,3.162508978E-1,-1.602218950E0,1.690360241E0
2.751634708E0,-1.981392978E-1,3.587873451E-1,-1.867166231E0,1.911621635E0
2.761622708E0,6.255135689E-2,4.288486100E-1,-1.759716627E0,1.812298654E0
2.771610708E0,1.155812174E-1,3.792317327E-1,-1.437770103E0,1.491428373E0
2.781598708E0,-3.183008585E-2,3.195787675E-1,-1.026757035E0,1.075813066E0
2.791586708E0,-2.601087288E-1,3.566000845E-1,-6.353262931E-1,7.736017514E-1
2.801574708E0,-4.291802933E-1,4.110667521E-1,-3.664338952E-1,6.981729001E-1
2.811562708E0,-4.971542484E-1,4.396549223E-1,-2.273988014E-1,7.015475838E-1
2.821550708E0,-4.768063033E-1,3.836194468E-1,-7.137403786E-2,6.161188068E-1
2.831538708E0,-3.750040861E-1,3.032617468E-1,-1.811233521E-2,4.826218067E-1
2.841527292E0,-2.109104938E-1,1.951379768E-1,-1.133453518E-1,3.088838539E-1
2.851515292E0,-9.949808534E-2,2.934523847E-2,-2.528529006E-1,2.733049604E-1
2.861503292E0,2.673858628E-3,-1.699448096E-1,-4.376886499E-1,4.695314069E-1
2.871491292E0,9.847697876E-2,-2.864591513E-1,-6.580088121E-1,7.243839848E-1
2.881479292E0,1.907081079E-1,-3.496781506E-1,-8.688605779E-1,9.558049463E-1
2.891467292E0,2.963565688E-1,-3.643162895E-1,-1.180137688E0,1.270149022E0
2.901455292E0,4.082033341E-1,-3.592303448E-1,-1.468921144E0,1.566335127E0
2.911443292E0,5.355510132E-1,-3.023580961E-1,-1.684568211E0,1.793322438E0
2.921431292E0,6.473045336E-1,-1.804175748E-1,-1.949284528E0,2.061859314E0
2.931419292E0,7.219996438E-1,-6.746882871E-2,-2.265791972E0,2.379001637E0
2.941407292E0,7.759095103E-1,3.460395014E-2,-2.544350402E0,2.660254118E0
2.951395292E0,7.812703107E-1,1.132892368E-1,-2.721822168E0,2.833996059E0
2.961383292E0,7.730057099E-1,1.460962736E-1,-2.854867374E0,2.961275008E0
2.971371292E0,7.877645208E-1,1.415832190E-1,-2.858814830E0,2.968744007E0
2.981359292E0,8.263242768E-1,1.480438807E-1,-2.634069495E0,2.764606826E0
2.991347292E0,8.627220248E-1,8.822552151E-2,-2.447145120E0,2.596265062E0
3.001336292E0,9.008128341E-1,2.337274165E-2,-2.264782158E0,2.437467594E0
3.011324292E0,9.073563069E-1,-2.523742786E-2,-1.998668942E0,2.195133238E0
3.021312292E0,8.680445259E-1,-7.691366256E-2,-1.728137569E0,1.935426689E0
3.031300292E0,7.798624474E-1,-1.389575725E-1,-1.456946046E0,1.658368604E0
3.041288292E0,7.123605088E-1,-1.349182702E-1,-1.093787761E0,1.312262207E0
3.051276292E0,6.871098927E-1,-3.332192070E-2,-6.865631050E-1,9.719049605E-1
3.061264292E0,7.699362141E-1,2.378471683E-2,-3.343771201E-1,8.397473102E-1
3.071252292E0,8.318728459E-1,4.923398520E-2,-5.805349588E-2,8.353482061E-1
3.081240292E0,8.355638277E-1,3.150422007E-2,1.793639249E-1,8.551788372E-1
3.091228292E0,7.198194364E-1,-2.958123758E-2,4.296539909E-1,8.388191834E-1
3.101216292E0,5.017627314E-1,-8.709180121E-2,7.266334891E-1,8.873257846E-1
